,SHD,predicted edges,FDR
0,597,605,0.9636363636363636
1,313,291,0.9518900343642611
2,172,172,0.8546511627906976
3,69,97,0.6082474226804123
4,23,65,0.3076923076923077
5,32,76,0.39473684210526316
6,32,78,0.3974358974358974
7,36,80,0.425
8,35,79,0.4177215189873418
9,33,79,0.4050632911392405
10,40,86,0.45348837209302323
11,42,88,0.4659090909090909
12,42,88,0.4659090909090909
13,38,84,0.44047619047619047
14,37,83,0.43373493975903615
15,39,83,0.4457831325301205
16,39,83,0.4457831325301205
17,41,85,0.4588235294117647
18,35,79,0.4177215189873418
19,33,77,0.4025974025974026
20,34,76,0.40789473684210525
21,33,77,0.4025974025974026
22,35,77,0.4155844155844156
23,29,71,0.36619718309859156
24,29,71,0.36619718309859156
